year,donor,type_donor,amount_nominal,issue_area
2018,The African Union - United Nations Hybrid Operation in Darfur,private,800000,Health
2009,European Union,public,28630130,Health
2010,China,public,2000000,Health
2019,Spain,public,3686619.205,"Labour, Economic Affairs, Science"
2018,Kazakhstan,public,472410.6982,Peace
2006,Latvia,public,97394,Humanitarian Law and Action
2010,Slovakia,public,300830.5671,Peace
2021,UN,public,5450000,Health
2012,Yemen,public,3484.116184,Humanitarian Law and Action
2011,Guatemala,public,155345.1301,"Labour, Economic Affairs, Science"
2019,Canada,public,22468.97935,Health
2012,Chile,public,100000,Humanitarian Law and Action
2003,Madagascar,public,80.94153571,Humanitarian Law and Action
2012,Luxembourg,public,347336.6294,"Labour, Economic Affairs, Science"
2006,Finland,public,2380150,Health
2011,NA,private,13171,Humanitarian Law and Action
2018,Czech Republic,public,96407,Humanitarian Law and Action
2016,Zambia,public,79359.1193,"Labour, Economic Affairs, Science"
2014,Global Issues Group,private,6582,"Labour, Economic Affairs, Science"
2009,NA,private,41855,Humanitarian Law and Action
2019,UN,public,63500,Health
2009,Japan,public,931416,Humanitarian Law and Action
2009,Holy See,public,1000,Humanitarian Law and Action
2020,WHO,public,0.5,Health
2020,Kenya,public,133263.0379,"Labour, Economic Affairs, Science"
2011,Cameroon,public,13273.02087,Humanitarian Law and Action
2019,John D. and Catherine T. Macarthur Foundation,private,69500,Health
2016,Solomon Islands,public,29759.66974,"Labour, Economic Affairs, Science"
2018,Italy,public,13000,Health
2018,GlaxoSmithKline (GSK),private,25000,Health
2011,Czech Republic,public,167790.4874,Humanitarian Law and Action
2015,Eswatini (formerly known as Swaziland),public,8966.624376,Peace
2010,Angola,public,1208.162576,Humanitarian Law and Action
2004,South Africa,public,57718,Humanitarian Law and Action
2002,El Salvador,public,52815.5,Health
2017,Robert Wood Johnson Foundation,private,13000,Health
2010,Sheikha Fatima Fund for Refugee Women (UAE),public,299982,Humanitarian Law and Action
2015,NA,private,115051,Humanitarian Law and Action
2001,Sweden,public,1892133,Health
2004,Canada,public,9062734,Health
2017,"Social Fund for Development, Yemen",private,66259,"Labour, Economic Affairs, Science"
2020,South Korea,public,8198093.504,"Labour, Economic Affairs, Science"
2016,Medicor Foundation,private,265656.8754,Health
2001,Israel,public,433517.5766,Peace
2012,Romania,public,889754,Humanitarian Law and Action
2002,Sierra Leone,public,197582,Humanitarian Law and Action
2017,Cook Islands,public,4650,Health
2013,Belgium,public,21610042.68,Humanitarian Law and Action
2016,Romania,public,113796.1059,Humanitarian Law and Action
2020,Switzerland,public,1350000,Health
2021,South Korea,NA,258000,Health
2009,United Kingdom,public,6998061.253,Health
2013,Tajikistan,public,2610.842115,Humanitarian Law and Action
2005,Mongolia,public,4290,Health
2002,Switzerland,public,1400388.937,"Labour, Economic Affairs, Science"
2006,San Marino,public,5570.214638,Peace
2010,India,public,1677598.94,"Labour, Economic Affairs, Science"
2009,NA,private,108655.8556,Humanitarian Law and Action
2018,The Foundation for Global Compact,private,142812,"Labour, Economic Affairs, Science"
2006,Gates Foundation,private,1048000,Health
2000,Malaysia,public,193486.8519,Peace
2004,Djibouti,public,19367.97545,"Labour, Economic Affairs, Science"
2003,European Union,public,9025626.536,Humanitarian Law and Action
2013,Mozambique,public,7885.100729,Peace
2015,Vanuatu,public,1479.66346,"Labour, Economic Affairs, Science"
2017,Gambia,public,1446.137472,"Labour, Economic Affairs, Science"
2010,Estonia,public,10926.20044,"Labour, Economic Affairs, Science"
2010,United States,public,673776000,Health
2019,United States,public,1040000000,Health
2015,Tunisia,public,249864.6586,"Labour, Economic Affairs, Science"
2019,United States,public,139500,Health
2013,Colombia,public,489327.9131,"Labour, Economic Affairs, Science"
2005,Slovakia,public,45241,Humanitarian Law and Action
2016,UN,public,3050000,Health
2011,Switzerland,public,2658945.606,Peace
2017,Switzerland,public,2342904.364,Health
2013,Slovenia,public,394415.1714,"Labour, Economic Affairs, Science"
2020,Argentina,public,97090.729,"Labour, Economic Affairs, Science"
2019,Bulgaria,public,216282,Health
2005,Armenia,public,20165.80775,"Labour, Economic Affairs, Science"
2016,Australia,public,7975769.083,"Labour, Economic Affairs, Science"
2017,NA,private,80749997,Humanitarian Law and Action
2020,Austria,public,13391730.7,Humanitarian Law and Action
2017,Kazakhstan,public,649223.3104,"Labour, Economic Affairs, Science"
2004,Ireland,public,10169732,Humanitarian Law and Action
2006,Ireland,public,1036844.326,"Labour, Economic Affairs, Science"
2013,Jamaica,public,78039.36546,"Labour, Economic Affairs, Science"
2021,GlaxoSmithKline (GSK),private,42500,Health
2017,Sanofi-Aventis,private,1400000,Health
2014,Tuvalu,public,3.274569367,"Labour, Economic Affairs, Science"
2016,Mali,public,14933.11305,"Labour, Economic Affairs, Science"
2005,Sweden,public,49452000,Health
2019,Brazil,public,91729.01311,"Labour, Economic Affairs, Science"
2013,Gabon,public,44292.61283,"Labour, Economic Affairs, Science"
2019,Primark Stores Ltd.,private,135815,"Labour, Economic Affairs, Science"
2012,Philippines,public,40955.16187,Humanitarian Law and Action
2013,Saudi Arabia,public,11523754,Humanitarian Law and Action
2006,Mauritius,public,13500.89286,Humanitarian Law and Action
2019,Greece,public,2263704,Health
2001,Algeria,public,10000,Humanitarian Law and Action
2020,Australia,public,4350000,Health
2016,Belize,public,2539.426389,Peace
2008,Tunisia,public,59232.92811,Peace
2017,Hilfsaktion Noma e.V.,private,402500,Health
2011,Czech Republic,public,18867,Humanitarian Law and Action
2005,San Marino,public,6487.535313,Peace
2005,Kuwait,public,350328.6082,Peace
2008,Bolivia,public,9133.128364,Humanitarian Law and Action
2019,Bloomberg Family Foundation,private,297500,Health
2020,Togo,public,1516.676519,"Labour, Economic Affairs, Science"
2003,United Arab Emirates,public,635003.427,"Labour, Economic Affairs, Science"
2017,University of Hohenheim,private,20500,Health
2002,Bosnia and Herzegovina,public,4365.8279,Peace
2019,Uruguay,public,145576.2119,"Labour, Economic Affairs, Science"
2011,South Korea,public,1239815,Humanitarian Law and Action
2021,UN,public,184500,Health
2018,Croatia,public,23304.42394,"Labour, Economic Affairs, Science"
2010,Chile,public,207632.3274,Humanitarian Law and Action
2010,Dominican Republic,public,88978.02541,Peace
2001,Gates Foundation,private,425000000,Health
2017,Canada,public,7504211.132,Peace
2015,Belarus,public,11840.42495,"Labour, Economic Affairs, Science"
2014,Algeria,public,40960.49669,Humanitarian Law and Action
2005,Paraguay,public,34195.13852,"Labour, Economic Affairs, Science"
2001,Macedonia,public,1948.311671,Humanitarian Law and Action
2015,Sweden,public,100772498.3,Health
2013,Gates Foundation,private,4643283,"Labour, Economic Affairs, Science"
2010,NA,public,13314479,Humanitarian Law and Action
2010,Kuwait,public,10926.20044,"Labour, Economic Affairs, Science"
2017,UN,public,10000,Humanitarian Law and Action
2019,Nicaragua,public,6600,Humanitarian Law and Action
2008,Argentina,public,1184248.77,"Labour, Economic Affairs, Science"
2005,NA,private,2742502,Humanitarian Law and Action
2019,Botswana,public,66980,Health
2001,Germany,public,10552172.15,Humanitarian Law and Action
2012,Norwegian Refugee Council,private,1628000,Humanitarian Law and Action
2005,Turkmenistan,public,10812.68038,Peace
2019,NA,private,7286,Humanitarian Law and Action
2012,NA,NA,37138844.22,"Labour, Economic Affairs, Science"
2017,Cote d'Ivoire,public,1182775.535,Health
2015,Cambodia,public,11955.53588,Peace
2015,Thailand,public,11840.42495,"Labour, Economic Affairs, Science"
2015,Mongolia,public,2960.366009,"Labour, Economic Affairs, Science"
2011,Russian Federation,public,20000000,Health
2009,Nicaragua,public,9255,Humanitarian Law and Action
2006,Rwanda,public,4470,Health
2009,Tunisia,public,208720.0016,"Labour, Economic Affairs, Science"
2020,Tanzania,public,47850,Health
2008,Ghana,public,7642.891067,Peace
2013,Spain,public,7596836,Humanitarian Law and Action
2019,The Church of Jesus Christ of Latter-day Saints,private,2000000,Health
2016,United Kingdom,public,1150000,Health
2021,UN,public,23850000,Health
2020,UNHCR,public,16500,Health
2014,Netherlands,public,6875400.453,"Labour, Economic Affairs, Science"
2007,United States,public,84532559.5,Health
2011,WHO,public,5000,Humanitarian Law and Action
2008,Iceland,public,73913.52519,"Labour, Economic Affairs, Science"
2008,Papua New Guinea,public,88.63529347,"Labour, Economic Affairs, Science"
2005,Iran,public,52351.59339,Humanitarian Law and Action
2003,Chile,public,331206.8234,"Labour, Economic Affairs, Science"
2020,UN,public,429995,Humanitarian Law and Action
2014,Mauritius,public,54006.38104,"Labour, Economic Affairs, Science"
2007,Zimbabwe,public,10645.91966,Humanitarian Law and Action
2016,Guinea,public,5032.916579,Peace
2020,World Diabetes Foundation,private,145500,Health
2020,NA,private,37401247,Humanitarian Law and Action
2012,Switzerland,public,86916.27457,Humanitarian Law and Action
2016,China,public,386500,Health
2015,Netherlands,public,6545126.099,"Labour, Economic Affairs, Science"
2019,South Africa,public,343983.296,"Labour, Economic Affairs, Science"
2010,India,public,50000,Humanitarian Law and Action
2014,Libya,public,212554.4806,"Labour, Economic Affairs, Science"
2021,UN,public,343000,Health
2012,Gates Foundation,private,10000000,Health
2004,Peru,public,18293005,Humanitarian Law and Action
2018,Burkina Faso,public,15556.05323,"Labour, Economic Affairs, Science"
2018,UN,public,472000,Health
2000,South Korea,public,160000,Humanitarian Law and Action
2007,Monaco,public,6530.352616,Peace
2015,World Council of Churches,private,54673,"Labour, Economic Affairs, Science"
2012,Netherlands,public,4521464.336,Peace
2014,United Kingdom,public,326211000,Health
2007,Romania,public,294985,Humanitarian Law and Action
2018,Austria,public,3476914,Health
2000,AG Fund,private,52817.22457,Humanitarian Law and Action
2021,"Gates Ventures, LLC",private,86500,Health
2019,Greece,public,22830717,Humanitarian Law and Action
2014,Libya,public,399143.9305,Peace
2017,Seychelles,public,2893.290491,"Labour, Economic Affairs, Science"
2014,Saint Lucia,public,32008.91556,"Labour, Economic Affairs, Science"
2016,Qatar Charity,private,600000,Health
2016,Iraq,public,309008,Health
2013,NA,private,1744000,Humanitarian Law and Action
2005,Sweden,public,85199111,Humanitarian Law and Action
2001,Pakistan,public,63416.32073,Peace
2016,King's College London,private,96500,Health
2018,ITU,public,56500,Health
2006,Poland,public,147329.4503,Humanitarian Law and Action
2020,Goodbye Malaria,private,906000,Health
2020,"GAP, Inc.",private,19530,"Labour, Economic Affairs, Science"
2002,Slovakia,public,142318,Health
2008,UN,public,8652697,Humanitarian Law and Action
2016,Uruguay,public,30000,Humanitarian Law and Action
2013,Trinidad and Tobago,public,6146.267575,"Labour, Economic Affairs, Science"
2015,Suriname,public,4.156358033,"Labour, Economic Affairs, Science"
2013,Lukoil,private,456125,"Labour, Economic Affairs, Science"
2019,Islamic Development Bank,public,62000,Health
2019,Belgium,public,194500,Health
2004,UN,public,100855.9738,Humanitarian Law and Action
2001,Finland,public,545795.5455,Peace
2010,Switzerland,public,53349.96634,Humanitarian Law and Action
2015,Greece,public,142081.9821,"Labour, Economic Affairs, Science"
2000,Portugal,public,452773.8813,"Labour, Economic Affairs, Science"
2009,Saint Vincent and the Grenadines,public,25874.38037,"Labour, Economic Affairs, Science"
2005,United Arab Emirates,public,52803.73794,Humanitarian Law and Action
2001,Nigeria,public,64455.84686,Peace
2009,Eritrea,public,3627.283939,"Labour, Economic Affairs, Science"
2005,Portugal,public,1339310.797,"Labour, Economic Affairs, Science"
2017,Chad,public,1446.137472,"Labour, Economic Affairs, Science"
2014,Spain,public,5010462.249,"Labour, Economic Affairs, Science"
2017,UN,public,3250000,Health
2003,Senegal,public,21053,Health
2020,Oman,public,484205.3691,"Labour, Economic Affairs, Science"
2017,Equatorial Guinea,public,1446.137472,"Labour, Economic Affairs, Science"
2004,United States,public,20313206.48,"Labour, Economic Affairs, Science"
2006,NA,private,246,Humanitarian Law and Action
2012,Papua New Guinea,public,4874.966001,Peace
2000,France,public,27676580,Health
2001,Malta,public,15594.09813,Peace
2018,International Union against Tuberculosis and Lung Disease (IUATLD),private,49562,"Labour, Economic Affairs, Science"
2015,El Salvador,public,2960.366009,"Labour, Economic Affairs, Science"
2010,Spain,public,437038.4292,"Labour, Economic Affairs, Science"
2009,Bahamas,public,58031.02904,"Labour, Economic Affairs, Science"
2013,Georgia,public,18398.60275,Peace
2016,Syria,public,19000,Health
2009,United Kingdom,public,4904617,Humanitarian Law and Action
2001,Russian Federation,public,1247532.575,Peace
2005,Guinea,public,6487.535313,Peace
2018,Zimbabwe,public,8.180937801,"Labour, Economic Affairs, Science"
2018,Montenegro,public,29988.25013,"Labour, Economic Affairs, Science"
2012,Guatemala,public,68248.59573,Peace
2018,Tunisia,public,211916.9676,"Labour, Economic Affairs, Science"
2015,Australia,public,710409.9104,"Labour, Economic Affairs, Science"
2018,Costa Rica,public,10295,Humanitarian Law and Action
2016,Carter Center,private,3100000,Health
2012,Switzerland,public,117720193.6,Humanitarian Law and Action
2004,Mali,public,3490.2782,Peace
2020,Denmark,public,96555108,Humanitarian Law and Action
2016,OPEC,public,10000,Health
2013,New Zealand,public,664980.8852,Peace
2005,United Arab Emirates,public,930805,Health
2012,Sao Tome and Principe,public,1518.635276,"Labour, Economic Affairs, Science"
2018,Cepheid,private,2139,Health
2019,European Respiratory Society (ERS),private,13000,Health
2017,Kuwait,public,263500,Health
2012,Syria,public,6075.607561,"Labour, Economic Affairs, Science"
2017,Brunei Darussalam,public,74502.60645,Peace
2020,Cambodia,public,104500,Health
2010,Colombia,public,155443.5395,Humanitarian Law and Action
2011,Cuba,public,6415.237117,"Labour, Economic Affairs, Science"
2020,Palau,public,2854.520008,Peace
2014,Montenegro,public,32008.91556,"Labour, Economic Affairs, Science"
2003,Maldives,public,1327.136194,Peace
2007,Andorra,public,55175,Humanitarian Law and Action
2002,Bangladesh,public,24645.72532,"Labour, Economic Affairs, Science"
2020,Grenada,public,4790,Health
2014,Japan,public,36957278.88,Humanitarian Law and Action
2015,Serbia,public,76400,Humanitarian Law and Action
2020,Cambodia,public,9876.503762,Humanitarian Law and Action
2015,Namibia,public,2960.366009,"Labour, Economic Affairs, Science"
2017,Ghana,public,2893.290491,"Labour, Economic Affairs, Science"
